Team,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
BOS,81,4/10/17,,BRK,W,114,105,110.8,102,102.9,0.231,0.418,0.569,51,75.6,6.8,7.3,,0.527,11.5,18.4,0.198,,0.407,10.4,82.4,0.407
BOS,82,4/12/17,,MIL,W,112,94,115.6,97,96.9,0.286,0.407,0.547,51.7,75.6,12.4,4.9,,0.516,7.2,24.4,0.198,,0.476,15.7,79.5,0.167
TOR,1,10/26/16,,DET,W,109,91,114.5,95.6,95.2,0.337,0.209,0.552,56,41.5,8.4,0,,0.494,10,30.4,0.279,,0.44,12.2,82.2,0.202
TOR,2,10/28/16,,CLE,L,91,94,96.9,100.1,93.9,0.2,0.178,0.465,56,34.3,9.6,6.4,,0.411,15.5,36.7,0.189,,0.494,16.1,78.6,0.203
TOR,3,10/31/16,,DEN,W,105,102,114.9,111.6,91.4,0.284,0.182,0.53,48.3,39,7.7,15.3,,0.489,6.6,23.9,0.216,,0.463,7.7,74.4,0.333
TOR,4,11/2/16,@,WAS,W,113,103,118,107.6,95.7,0.325,0.325,0.642,46.3,48.8,16.7,3.2,,0.623,12.9,11.8,0.221,,0.604,19.5,81.8,0.222
TOR,5,11/4/16,,MIA,W,96,87,104.2,94.5,92.1,0.214,0.298,0.522,53.8,37.8,7.6,8.3,,0.476,14,29.5,0.19,,0.438,12.1,75.5,0.114
TOR,6,11/6/16,,SAC,L,91,96,106.1,111.9,85.8,0.369,0.357,0.466,47.8,73.3,7,8.1,,0.399,5.8,27.7,0.286,,0.468,8.9,69.8,0.295
TOR,7,11/9/16,@,OKC,W,112,102,120,109.3,93.3,0.265,0.313,0.604,47.3,58.1,10.7,15,,0.584,10.6,20,0.181,,0.5,17.8,71.8,0.378
TOR,8,11/11/16,@,CHO,W,113,111,119.2,117.1,94.8,0.244,0.244,0.567,44.1,41.9,8.4,9.6,,0.511,4.8,17,0.233,,0.5,9.6,67.3,0.194
TOR,9,11/12/16,,NYK,W,118,107,119.6,108.5,98.6,0.458,0.265,0.592,47.3,46.2,10.1,8.1,,0.512,9.9,25.6,0.398,,0.49,13.3,66,0.124
TOR,10,11/15/16,@,CLE,L,117,121,118.2,122.2,99,0.188,0.302,0.563,46.5,52.2,11.1,10,,0.547,7.1,25,0.125,,0.608,15.1,73.7,0.241
TOR,11,11/16/16,,GSW,L,121,127,121.4,127.5,99.6,0.5,0.305,0.605,56.8,43.2,8,2,,0.512,12.3,31.7,0.451,,0.58,10.8,82.5,0.299
TOR,12,11/18/16,@,DEN,W,113,111,102.7,100.8,99.7,0.33,0.245,0.525,42.7,53.5,7.3,3.4,,0.5,9.3,10.7,0.202,,0.494,15.9,80.9,0.349
TOR,13,11/20/16,@,SAC,L,99,102,104,107.1,95.2,0.282,0.282,0.518,56.5,47.1,7.4,11.1,,0.453,13.6,32.7,0.259,,0.512,12.4,88.9,0.235
TOR,14,11/21/16,@,LAC,L,115,123,116.3,124.4,98.9,0.4,0.238,0.611,43.2,47.5,10.1,4.1,,0.55,10.5,10,0.338,,0.595,13.1,82.4,0.473
TOR,15,11/23/16,@,HOU,W,115,102,122,108.2,94.3,0.239,0.261,0.591,49.4,65.1,14.8,19.4,,0.557,12.6,34.9,0.193,,0.577,23.8,67.6,0.154
TOR,16,11/25/16,@,MIL,W,105,99,121.8,114.8,86.2,0.232,0.39,0.581,50,47.4,3.5,10,,0.549,9.1,26.2,0.183,,0.582,11.5,79.4,0.089
TOR,17,11/28/16,,PHI,W,122,95,132.7,103.4,91.9,0.403,0.247,0.673,52.5,52.4,12,15.4,,0.63,11.7,23.5,0.325,,0.5,13.2,73.9,0.105
TOR,18,11/30/16,,MEM,W,120,105,131.6,115.2,91.2,0.478,0.464,0.718,58.3,60.5,8.8,5.5,,0.667,17.7,35.7,0.406,,0.506,13.8,72.7,0.268
TOR,19,12/2/16,,LAL,W,113,80,123.2,87.2,91.7,0.157,0.349,0.637,48.9,55.6,8.7,7.5,,0.614,10.1,20.6,0.133,,0.376,13.7,66.1,0.108
TOR,20,12/3/16,,ATL,W,128,84,133.7,87.8,95.7,0.12,0.261,0.661,55.8,52.8,14.6,11.7,,0.647,11,32.4,0.098,,0.438,16,73.5,0.08
